delay_ns,threads,avg_read_ns,avg_cas_ns,avg_traversal_ns,throughput_mops
0,1,38.6,19.6,259.7,4.118
70,1,129.6,109.0,706.1,1.598
150,1,212.2,185.7,1113.3,1.026
250,1,317.2,296.1,1643.0,0.699
400,1,479.9,455.6,2454.7,0.469
0,1,40.3,16.0,269.9,3.848
0,2,34.1,14.3,232.6,8.214
0,4,32.3,13.7,222.8,14.771
0,8,57.5,14.2,324.0,12.899
0,16,64.9,15.2,402.3,15.058
70,1,133.2,112.3,725.3,1.531
70,2,128.0,105.2,697.3,3.122
70,4,126.9,103.0,689.8,5.961
70,8,152.1,102.7,791.8,7.665
70,16,154.5,114.6,857.4,11.114
